model_name,conv_layers,kernel_size,dropout,epochs_run,keras_test_accuracy_pct,quant_tflite_test_accuracy_pct,keras_size_bytes,float_tflite_size_bytes,quant_tflite_size_bytes,cc_size_bytes,best_val_accuracy_pct
tiny_1,8,3,0.2,30,41.64,42.27,45272,3588,3272,20273,37.79
tiny_2,8-16,3,0.25,30,75.27,74.09,77204,9084,5536,34235,76.64
mid_12_24,12-24,3,0.28,24,83.09,81.0,97278,15700,7544,46617,80.85
mid_16_24,16-24,3,0.3,24,71.64,73.0,109115,19604,8624,53277,70.64
mid_14_28,14-28,3,0.31,20,72.0,71.64,109902,19844,8744,54017,73.36
small_3,16-16-24,3,0.3,20,93.27,93.0,153686,29356,11952,73800,93.06
mid_kernel5,12-24,5,0.3,20,94.73,94.82,159485,36472,12760,78784,95.67
mid_14_24_24,14-24-24,3,0.35,16,88.27,87.18,182687,39080,14608,90180,89.58
mid_16_24_24,16-24-24,3,0.34,16,97.55,97.45,188607,41032,15152,93534,96.12
mid_wide,16-24-32,3,0.35,18,94.27,94.36,210651,48200,17120,105670,95.06
baseline_cnn,16-32-32,3,0.5,18,57.27,57.82,252475,62700,21288,131372,60.94
deep_4,16-24-32-32,3,0.35,16,96.73,96.91,339239,86248,28264,174392,97.42
